task,proprietary,dimension,spearman_rho,p_value,n
tf1_generation,openai/o4-mini,grammar,0.3798,0.0,1000
tf1_generation,openai/o4-mini,creativity,0.3847,0.0,1000
tf1_generation,openai/o4-mini,moral_clarity,0.3398,0.0,1000
tf1_generation,openai/o4-mini,adherence_to_prompt,0.3292,0.0,1000
tf2_translation,openai/o4-mini,accuracy,0.3341,0.001288,90
tf2_translation,openai/o4-mini,fluency,0.2959,0.004629,90
tf2_translation,openai/o4-mini,coherence,,,90
tf2_translation,openai/o4-mini,style,0.1834,0.083661,90
tf2_translation,openai/o4-mini,cultural_pragmatic,0.1389,0.191518,90
tf3_generation,google/gemini-2.5-flash,grammar,0.4465,3e-06,100
tf3_generation,google/gemini-2.5-flash,creativity,0.5041,0.0,100
tf3_generation,google/gemini-2.5-flash,coherence,0.308,0.001823,100
tf3_generation,google/gemini-2.5-flash,moral_clarity,0.4241,1.1e-05,100
tf3_generation,google/gemini-2.5-flash,adherence,0.2186,0.028915,100
tf3_generation,openai/o4-mini,grammar,0.4242,1.1e-05,100
tf3_generation,openai/o4-mini,creativity,0.3344,0.000672,100
tf3_generation,openai/o4-mini,coherence,0.357,0.000267,100
tf3_generation,openai/o4-mini,moral_clarity,0.2295,0.021632,100
tf3_generation,openai/o4-mini,adherence,0.1768,0.078475,100
