judge,dimension,length_bin,mean_score,std_score,n
exaone3.5:32b,grammar,short,8.005917159763314,0.07680886293740463,338
exaone3.5:32b,grammar,medium,7.997014925373135,0.05463583647081531,335
exaone3.5:32b,grammar,long,8.003058103975535,0.055300126360933094,327
exaone3.5:32b,grammar,correlation,-0.008890564680998579,0.7788651402855228,1000
exaone3.5:32b,creativity,short,6.718934911242603,0.4567294927840499,338
exaone3.5:32b,creativity,medium,6.794029850746269,0.4123398244685953,335
exaone3.5:32b,creativity,long,6.807339449541284,0.39499314788302686,327
exaone3.5:32b,creativity,correlation,0.10703903583117234,0.0006979512508384542,1000
exaone3.5:32b,moral_clarity,short,7.819526627218935,0.3927802605997156,338
exaone3.5:32b,moral_clarity,medium,7.844776119402985,0.3943020750314629,335
exaone3.5:32b,moral_clarity,long,7.847094801223242,0.37708414734027706,327
exaone3.5:32b,moral_clarity,correlation,0.03810602339565012,0.22860952265807447,1000
exaone3.5:32b,adherence_to_prompt,short,8.784023668639053,0.45325636103091566,338
exaone3.5:32b,adherence_to_prompt,medium,8.823880597014925,0.4043511666111058,335
exaone3.5:32b,adherence_to_prompt,long,8.837920489296636,0.3932317957546133,327
exaone3.5:32b,adherence_to_prompt,correlation,0.06270341235284188,0.047442665881084596,1000
granite3.3:8b,grammar,short,9.355029585798816,0.5320484173549593,338
granite3.3:8b,grammar,medium,9.244776119402985,0.4767917929235645,335
granite3.3:8b,grammar,long,9.070336391437309,0.2790335149128273,327
granite3.3:8b,grammar,correlation,-0.2657775180235974,1.2489737530099583e-17,1000
granite3.3:8b,creativity,short,7.0,0.5917333588302439,338
granite3.3:8b,creativity,medium,7.020895522388059,0.5384990543786659,335
granite3.3:8b,creativity,long,7.01223241590214,0.4359288452111082,327
granite3.3:8b,creativity,correlation,0.018570150171134794,0.5575020645013457,1000
granite3.3:8b,moral_clarity,short,8.928994082840237,0.8121770903427669,338
granite3.3:8b,moral_clarity,medium,8.907462686567165,0.8619212338861936,335
granite3.3:8b,moral_clarity,long,8.82874617737003,0.9470810596437644,327
granite3.3:8b,moral_clarity,correlation,-0.06738126138816194,0.0331271177934141,1000
granite3.3:8b,adherence_to_prompt,short,9.958579881656805,0.19955527961876832,338
granite3.3:8b,adherence_to_prompt,medium,9.925373134328359,0.2631814130258865,335
granite3.3:8b,adherence_to_prompt,long,9.917431192660551,0.2756511654905585,327
granite3.3:8b,adherence_to_prompt,correlation,-0.08668822052554724,0.006086978545846159,1000
granite4.1-dense:30b,grammar,short,8.476331360946746,0.5974988692677032,338
granite4.1-dense:30b,grammar,medium,8.435820895522388,0.657454147336143,335
granite4.1-dense:30b,grammar,long,8.015290519877675,0.785066812444569,327
granite4.1-dense:30b,grammar,correlation,-0.2667617833785471,9.391393178698006e-18,1000
granite4.1-dense:30b,creativity,short,6.461538461538462,0.6491263245033317,338
granite4.1-dense:30b,creativity,medium,6.48955223880597,0.6279741995630306,335
granite4.1-dense:30b,creativity,long,6.061162079510703,0.6800774910957198,327
granite4.1-dense:30b,creativity,correlation,-0.2461877721836987,2.850989788735025e-15,1000
granite4.1-dense:30b,moral_clarity,short,7.763313609467455,0.6783316257792598,338
granite4.1-dense:30b,moral_clarity,medium,7.794029850746269,0.7275338947214354,335
granite4.1-dense:30b,moral_clarity,long,7.556574923547401,0.8339119208656754,327
granite4.1-dense:30b,moral_clarity,correlation,-0.13388201669200067,2.1610963825484116e-05,1000
granite4.1-dense:30b,adherence_to_prompt,short,7.535502958579881,1.6948814235959306,338
granite4.1-dense:30b,adherence_to_prompt,medium,7.48955223880597,1.738704721994764,335
granite4.1-dense:30b,adherence_to_prompt,long,6.507645259938838,1.7529387129737841,327
granite4.1-dense:30b,adherence_to_prompt,correlation,-0.24956556812877875,1.1550505992573017e-15,1000
